instance_id,wrapping,parser,select,status,fmt,recovered_gold,note
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_diff,strict,last,diff_parse_fail,raw,False,prose before diff
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_diff,markdown,last,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_diff,fallback,last,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_diff,fallback,first,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_diff,fallback,concat_distinct,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_diff,baseline,last,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_python_lang,strict,last,diff_parse_fail,raw,False,prose before diff
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_python_lang,markdown,last,diff_parse_fail,unfenced,False,diff outside a ```diff fence
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_python_lang,fallback,last,diff_parse_success,fenced_any,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_python_lang,fallback,first,diff_parse_success,fenced_any,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_python_lang,fallback,concat_distinct,diff_parse_success,fenced_any,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,fenced_python_lang,baseline,last,diff_parse_success,fenced_any,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw,strict,last,diff_parse_success,raw,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw,markdown,last,diff_parse_fail,unfenced,False,diff outside a ```diff fence
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw,fallback,last,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw,fallback,first,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw,fallback,concat_distinct,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw,baseline,last,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw_prose_after,strict,last,diff_parse_fail,raw,False,prose after diff
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw_prose_after,markdown,last,diff_parse_fail,unfenced,False,diff outside a ```diff fence
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw_prose_after,fallback,last,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw_prose_after,fallback,first,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw_prose_after,fallback,concat_distinct,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,raw_prose_after,baseline,last,diff_parse_success,raw_git,False,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,prose_before_raw,strict,last,diff_parse_fail,raw,False,prose before diff
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,prose_before_raw,markdown,last,diff_parse_fail,unfenced,False,diff outside a ```diff fence
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,prose_before_raw,fallback,last,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,prose_before_raw,fallback,first,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,prose_before_raw,fallback,concat_distinct,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,prose_before_raw,baseline,last,diff_parse_success,raw_git,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,crlf_fenced,strict,last,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,crlf_fenced,markdown,last,diff_parse_success,fenced_diff,True,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,crlf_fenced,fallback,last,diff_parse_success,fenced_diff,True,
